assembly,type,type_decision,section,member_kind,member,member_decision
FunnySharp,FunnySharp.Effect,keep,AD-7,method,"public static FunnySharp.Effect<TEnvironment, T> FromValueTask<TEnvironment, T>(System.Func<TEnvironment, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<T>> operation)",keep
FunnySharp,FunnySharp.EffectResourceExtensions,keep,AD-7,method,"[ext] public static FunnySharp.Effect<TResult> Using<TResource, TResult>(this FunnySharp.Effect<TResource> acquire, System.Func<TResource, FunnySharp.Effect<TResult>> use)",keep
FunnySharp,FunnySharp.EffectResourceExtensions,keep,AD-7,method,"[ext] public static FunnySharp.Effect<TEnvironment, TResult> Using<TEnvironment, TResource, TResult>(this FunnySharp.Effect<TEnvironment, TResource> acquire, System.Func<TResource, FunnySharp.Effect<TEnvironment, TResult>> use)",keep
FunnySharp,FunnySharp.EffectResourceExtensions,keep,AD-7,method,"[ext] public static FunnySharp.Effect<TResult> UsingAsync<TResource, TResult>(this FunnySharp.Effect<TResource> acquire, System.Func<TResource, FunnySharp.Effect<TResult>> use)",keep
FunnySharp,FunnySharp.EffectResourceExtensions,keep,AD-7,method,"[ext] public static FunnySharp.Effect<TEnvironment, TResult> UsingAsync<TEnvironment, TResource, TResult>(this FunnySharp.Effect<TEnvironment, TResource> acquire, System.Func<TResource, FunnySharp.Effect<TEnvironment, TResult>> use)",keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,"public FunnySharp.Effect<TResult> Bind<TResult>(System.Func<T, FunnySharp.Effect<TResult>> binder)",keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,"public FunnySharp.Effect<TResult> Map<TResult>(System.Func<T, TResult> selector)",keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,public System.Threading.Tasks.ValueTask<T> RunAsync(System.Threading.CancellationToken cancellationToken),keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,"public FunnySharp.Effect<TResult> Select<TResult>(System.Func<T, TResult> selector)",keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,"public FunnySharp.Effect<TResult> SelectMany<TIntermediate, TResult>(System.Func<T, FunnySharp.Effect<TIntermediate>> binder, System.Func<T, TIntermediate, TResult> projector)",keep
FunnySharp,FunnySharp.Effect`1,keep,AD-7,method,"public FunnySharp.Effect<TEnvironment, T> WithEnvironment<TEnvironment>()",keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,"public FunnySharp.Effect<TEnvironment, TResult> Bind<TResult>(System.Func<T, FunnySharp.Effect<TEnvironment, TResult>> binder)",keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,"public FunnySharp.Effect<TEnvironment, TResult> Map<TResult>(System.Func<T, TResult> selector)",keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,public FunnySharp.Effect<T> Provide(TEnvironment? environment),keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,"public System.Threading.Tasks.ValueTask<T> RunAsync(TEnvironment? environment, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,"public FunnySharp.Effect<TEnvironment, TResult> Select<TResult>(System.Func<T, TResult> selector)",keep
FunnySharp,FunnySharp.Effect`2,keep,AD-7,method,"public FunnySharp.Effect<TEnvironment, TResult> SelectMany<TIntermediate, TResult>(System.Func<T, FunnySharp.Effect<TEnvironment, TIntermediate>> binder, System.Func<T, TIntermediate, TResult> projector)",keep
FunnySharp,FunnySharp.EnumerablePipelineExtensions,keep,AD-5,method,"[ext] public static System.Collections.Generic.IEnumerable<TResult> Choose<TSource, TResult>(this System.Collections.Generic.IEnumerable<TSource> source, System.Func<TSource, FunnySharp.Option<TResult>> chooser)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<T, TResult> Compose<T, TIntermediate, TResult>(this System.Func<T, TIntermediate> first, System.Func<TIntermediate, TResult> second)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<T, System.Threading.Tasks.Task<TResult>> ComposeAsync<T, TIntermediate, TResult>(this System.Func<T, System.Threading.Tasks.Task<TIntermediate>> first, System.Func<TIntermediate, System.Threading.Tasks.Task<TResult>> second)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<T, System.Threading.Tasks.ValueTask<TResult>> ComposeAsync<T, TIntermediate, TResult>(this System.Func<T, System.Threading.Tasks.ValueTask<TIntermediate>> first, System.Func<TIntermediate, System.Threading.Tasks.ValueTask<TResult>> second)",redesign
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.Task<TResult>> ComposeAsync<T, TIntermediate, TResult>(this System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.Task<TIntermediate>> first, System.Func<TIntermediate, System.Threading.CancellationToken, System.Threading.Tasks.Task<TResult>> second)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<TResult>> ComposeAsync<T, TIntermediate, TResult>(this System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<TIntermediate>> first, System.Func<TIntermediate, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<TResult>> second)",redesign
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<TFirst, System.Func<TSecond, TResult>> Curry<TFirst, TSecond, TResult>(this System.Func<TFirst, TSecond, TResult> function)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<TSecond, TFirst, TResult> Flip<TFirst, TSecond, TResult>(this System.Func<TFirst, TSecond, TResult> function)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<TSecond, TResult> Partial<TFirst, TSecond, TResult>(this System.Func<TFirst, TSecond, TResult> function, TFirst? first)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static TResult Pipe<T, TResult>(this T? value, System.Func<T, TResult> function)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static T Tap<T>(this T? value, System.Action<T> observer)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Threading.Tasks.Task<T> TapAsync<T>(this T? value, System.Func<T, System.Threading.Tasks.Task> observer)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Threading.Tasks.Task<T> TapAsync<T>(this T? value, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.Task> observer, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Threading.Tasks.ValueTask<T> TapValueAsync<T>(this T? value, System.Func<T, System.Threading.Tasks.ValueTask> observer)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Threading.Tasks.ValueTask<T> TapValueAsync<T>(this T? value, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask> observer, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.FunctionExtensions,keep,AD-4,method,"[ext] public static System.Func<TFirst, TSecond, TResult> Uncurry<TFirst, TSecond, TResult>(this System.Func<TFirst, System.Func<TSecond, TResult>> function)",keep
FunnySharp,FunnySharp.Lens,keep,AD-9,method,"public static FunnySharp.Lens<TSource, TFocus> Create<TSource, TFocus>(System.Func<TSource, TFocus> get, System.Func<TSource, TFocus, TSource> set)",keep
FunnySharp,FunnySharp.Lens,keep,AD-9,method,"public static FunnySharp.Lens<T, T> Identity<T>()",keep
FunnySharp,FunnySharp.Lens`2,keep,AD-9,method,"public FunnySharp.Lens<TSource, TNext> Compose<TNext>(FunnySharp.Lens<TFocus, TNext> next)",keep
FunnySharp,FunnySharp.Lens`2,keep,AD-9,method,"public FunnySharp.Optional<TSource, TNext> Compose<TNext>(FunnySharp.Optional<TFocus, TNext> next)",keep
FunnySharp,FunnySharp.Lens`2,keep,AD-9,method,public TFocus Get(TSource? source),keep
FunnySharp,FunnySharp.Lens`2,keep,AD-9,method,"public TSource Set(TSource? source, TFocus? focus)",keep
FunnySharp,FunnySharp.Lens`2,keep,AD-9,method,"public TSource Update(TSource? source, System.Func<TFocus, TFocus> update)",keep
FunnySharp,FunnySharp.Option,keep,AD-1,method,public static FunnySharp.Option<T> FromNullable<T>(T? value),keep
FunnySharp,FunnySharp.Option,keep,AD-1,method,public static FunnySharp.Option<T> FromNullable<T>(T?? value),keep
FunnySharp,FunnySharp.Option,keep,AD-1,method,public static FunnySharp.Option<T> FromTry<T>(FunnySharp.TryOperation<T> operation),keep
FunnySharp,FunnySharp.Option,keep,AD-1,method,public static FunnySharp.Option<T> None<T>(),keep
FunnySharp,FunnySharp.Option,keep,AD-1,method,public static FunnySharp.Option<T> Some<T>(T? value),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<TResult>> BindAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.Tasks.Task<FunnySharp.Option<TResult>>> binder)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<TResult>> BindAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.Task<FunnySharp.Option<TResult>>> binder, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>> BindValueAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> binder)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>> BindValueAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> binder, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static FunnySharp.Option<TValue> GetOption<TKey, TValue>(this System.Collections.Generic.IReadOnlyDictionary<TKey, TValue> source, TKey? key)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<TResult>> MapAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.Tasks.Task<TResult>> selector)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<TResult>> MapAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.Task<TResult>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>> MapValueAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.Tasks.ValueTask<TResult>> selector)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>> MapValueAsync<T, TResult>(this FunnySharp.Option<T> option, System.Func<T, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<TResult>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static FunnySharp.Option<T> ToOption<T>(this T? value),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static FunnySharp.Option<T> ToOption<T>(this T?? value),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<T>> ToOptionAsync<T>(this System.Threading.Tasks.Task<T> task),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static System.Threading.Tasks.Task<FunnySharp.Option<T>> ToOptionAsync<T>(this System.Threading.Tasks.Task<T?> task),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<T>> ToOptionAsync<T>(this System.Threading.Tasks.ValueTask<T> task),keep
FunnySharp,FunnySharp.OptionExtensions,keep,AD-1,method,[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<T>> ToOptionAsync<T>(this System.Threading.Tasks.ValueTask<T?> task),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,property,public System.Boolean IsNone { get; },keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,property,public System.Boolean IsSome { get; },keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,property,public static FunnySharp.Option<T> None { get; },keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public FunnySharp.Option<TResult> Bind<TResult>(System.Func<T, FunnySharp.Option<TResult>> binder)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public System.Boolean Equals(FunnySharp.Option<T> other),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public System.Boolean Equals(System.Object? obj),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public FunnySharp.Option<T> Filter(System.Func<T, System.Boolean> predicate)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public System.Int32 GetHashCode(),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public T GetValueOr(T? fallback),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public T GetValueOrDefault(),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public T GetValueOrElse(System.Func<T> fallbackFactory),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public FunnySharp.Option<TResult> Map<TResult>(System.Func<T, TResult> selector)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public TResult Match<TResult>(System.Func<T, TResult> some, System.Func<TResult> none)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public System.Void Match(System.Action<T> some, System.Action none)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public FunnySharp.Option<T> OrElse(FunnySharp.Option<T> fallback),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public FunnySharp.Option<T> OrElseWith(System.Func<FunnySharp.Option<T>> fallbackFactory),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public static FunnySharp.Option<T> Some(T? value),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public System.String ToString(),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,public System.Boolean TryGetValue(out T&? value),keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,method,"public FunnySharp.Option<System.ValueTuple<T, TSecond>> Zip<TSecond>(FunnySharp.Option<TSecond> second)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,operator,"public static System.Boolean op_Equality(FunnySharp.Option<T> left, FunnySharp.Option<T> right)",keep
FunnySharp,FunnySharp.Option`1,keep,AD-1,operator,"public static System.Boolean op_Inequality(FunnySharp.Option<T> left, FunnySharp.Option<T> right)",keep
FunnySharp,FunnySharp.Optional,keep,AD-9,method,"public static FunnySharp.Optional<TSource, TFocus> Create<TSource, TFocus>(System.Func<TSource, FunnySharp.Option<TFocus>> getOption, System.Func<TSource, TFocus, TSource> set)",keep
FunnySharp,FunnySharp.Optional`2,keep,AD-9,method,"public FunnySharp.Optional<TSource, TNext> Compose<TNext>(FunnySharp.Lens<TFocus, TNext> next)",keep
FunnySharp,FunnySharp.Optional`2,keep,AD-9,method,"public FunnySharp.Optional<TSource, TNext> Compose<TNext>(FunnySharp.Optional<TFocus, TNext> next)",keep
FunnySharp,FunnySharp.Optional`2,keep,AD-9,method,public FunnySharp.Option<TFocus> GetOption(TSource? source),keep
FunnySharp,FunnySharp.Optional`2,keep,AD-9,method,"public TSource Set(TSource? source, TFocus? focus)",keep
FunnySharp,FunnySharp.Optional`2,keep,AD-9,method,"public TSource Update(TSource? source, System.Func<TFocus, TFocus> update)",keep
FunnySharp,FunnySharp.ParallelAsyncEnumerableExtensions,keep,AD-6,method,"[ext] public static System.Collections.Generic.IAsyncEnumerable<TResult> SelectParallelValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Int32 maxConcurrency, System.Func<TSource, System.Threading.Tasks.ValueTask<TResult>> selector)",keep
FunnySharp,FunnySharp.ParallelAsyncEnumerableExtensions,keep,AD-6,method,"[ext] public static System.Collections.Generic.IAsyncEnumerable<TResult> SelectParallelValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Int32 maxConcurrency, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<TResult>> selector)",keep
FunnySharp,FunnySharp.ParallelAsyncSequenceExtensions,keep,AD-6,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TResult>>> TraverseParallelValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Int32 maxConcurrency, System.Func<TSource, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> selector, System.Threading.CancellationToken cancellationToken)",keep
FunnySharp,FunnySharp.ParallelAsyncSequenceExtensions,keep,AD-6,method,"[ext] public static System.Threading.Tasks.ValueTask<FunnySharp.Option<System.Collections.Generic.IReadOnlyList<TResult>>> TraverseParallelValueAsync<TSource, TResult>(this System.Collections.Generic.IAsyncEnumerable<TSource> source, System.Int32 maxConcurrency, System.Func<TSource, System.Threading.CancellationToken, System.Threading.Tasks.ValueTask<FunnySharp.Option<TResult>>> selector, System.Threading.CancellationToken cancellationToken)",keep
